_uuid,submissiontime,caste,GPS,_gps_latitude,_gps_longitude,gender,age,ownership,property_type,education,occupation,issue_ranking1,issue_ranking2,issue_ranking3,issue_ranking4,issue_ranking5,issue_ranking6,tol,ward
1,2014-06-14T20:39:03,,27.70613 85.34259 0 0,27.70613,85.34259,male,36+,renter,,slc,retired,,,,,,,tol_name_saraswati,ward_6
2,2014-06-12T09:34:42,,27.72667 85.35443 0 0,27.72667,85.35443,female,26+,renter,,studied_some,retired,NA,NA,NA,NA,NA,NA,tol_name_saraswati,ward_6
3,2014-06-13T21:30:50,,27.65153 85.29164 0 0,27.65153,85.29164,male,56+,owner,built,bachelors,government ,Water,Power,Sewage,Road,Garbage,Security,tol_name_shanti,ward_6
4,2014-06-14T20:39:21,,27.72351 85.3544 0 0,27.72351,85.3544,male,46+,ownerDon't Know/Can't Say,bachelors,government ,Water,Power,Garbage,Security,Sewage,Road,tol_name_shanti,ward_6,
5,2014-06-13T22:18:24,,27.63806 85.35587 0 0,27.63806,85.35587,male,36+,renter,,plus_two,government ,Power,Water,Road,Garbage,Sewage,Security,tol_name_shanti,ward_6
6,2014-06-15T15:08:07,,27.72566 85.35376 0 0,27.72566,85.35376,male,36+,renter,,plus_two,government ,Water,Power,Garbage,Road,Sewage,Security,tol_name_saraswati,ward_6
7,2014-06-11T17:10:32,,27.72372 85.34044 0 0,27.72372,85.34044,male,26+,renter,,slc,government ,Water,Power,Garbage,NA,NA,NA,tol_name_saraswati,ward_6
8,2014-06-11T17:27:13,,27.72248 85.34908 0 0,27.72248,85.34908,female,18+,renter,,plus_two,government ,Water,Security,Sewage,Garbage,Power,Road,tol_name_saraswati,ward_6
9,2014-06-11T17:28:03,,27.65153 85.29164 0 0,27.65153,85.29164,male,18+,renter,,bachelors,government ,Water,Garbage,Road,Sewage,Power,Security,tol_name_shanti,ward_6
10,2014-06-11T17:28:05,,27.72461 85.3561 0 0,27.72461,85.3561,male,18+,renter,,slc,government ,Garbage,Road,Power,Sewage,Security,Water,tol_name_shanti,ward_6
11,2014-06-11T17:28:07,,27.71733 85.35813 0 0,27.71733,85.35813,male,56+,owner,built,studied_some,labourer,Water,Garbage,Sewage,Road,Power,Security,tol_name_kumarigal,ward_6
12,2014-06-11T17:32:39,,27.7231 85.28419 0 0,27.7231,85.28419,female,56+,owner,built,slc,labourer,Garbage,Power,Water,Road,Security,Sewage,tol_name_shanti,ward_6
13,2014-06-11T17:35:13,,27.72558 85.35667 0 0,27.72558,85.35667,male,46+,renter,,slc,labourer,Water,Power,Security,Garbage,Sewage,Road,tol_name_shanti,ward_6
14,2014-06-11T17:37:00,,27.7267 85.35476 0 0,27.7267,85.35476,male,46+,owner,ancestral,plus_two,labourer,Security,Sewage,Garbage,Water,Power,Road,tol_name_saraswati,ward_6
15,2014-06-11T17:43:23,,27.7258 85.35435 0 0,27.7258,85.35435,male,36+,renter,,studied_some,labourer,Sewage,Water,Garbage,Security,Road,Power,tol_name_saraswati,ward_6
16,2014-06-11T17:43:27,,27.7229 85.35085 0 0,27.7229,85.35085,male,36+,renter,,slc,labourer,Garbage,Road,Sewage,Water,Security,Power,tol_name_saraswati,ward_6
17,2014-06-11T17:46:16,,27.72538 85.3532 0 0,27.72538,85.3532,male,36+,owner,ancestral,slc,labourer,Water,Power,Garbage,Sewage,Road,Security,tol_name_saraswati,ward_6
18,2014-06-11T18:05:35,,27.72595 85.35664 0 0,27.72595,85.35664,male,26+,renter,,slc,labourer,NA,NA,NA,NA,NA,NA,tol_name_shanti,ward_6
19,2014-06-15T13:53:55,,27.72487 85.35625 0 0,27.72487,85.35625,male,18+,owner,built,bachelors,labourer,Power,Water,Garbage,Sewage,Security,Road,tol_name_saraswati,ward_6
20,2014-06-15T16:47:38,,27.72535 85.35509 0 0,27.72535,85.35509,male,75,owner,built,never_studied,business,Garbage,Road,Security,Power,Sewage,Water,tol_name_saraswati,ward_6
21,2014-06-15T15:08:01,,27.72353 85.28637 0 0,27.72353,85.28637,female,75,owner,,never_studied,business,Power,Water,Sewage,Road,Garbage,Security,tol_name_shanti,ward_6
22,2014-06-15T16:54:55,,27.72306 85.3548 0 0,27.72306,85.3548,male,56+,renter,,studied_some,business,Water,Power,Security,Road,Sewage,Garbage,tol_name_saraswati,ward_6
23,2014-06-15T15:07:56,,27.72353 85.28637 0 0,27.72353,85.28637,male,56+,owner,built,studied_some,business,Security,Sewage,Garbage,Power,Water,Road,tol_name_shanti,ward_6
